D-fix0.00001		1256240		1921232
D-fix0.0001		955102		1591425
D-fix0.001		917108		1579592
D-fix0.005		913320		1605960
D-fix0.01		922867		1643239
D-fix0.05		978870		1726028
D-fix0.1		1017487		1771531
D-lce		1189025		1845026
